1::Toy Story::Toy Story::1995::Tom Hanks|Tim Allen|Don Rickles|Jim Varney|Wallace Shawn|John Ratzenberger|Annie Potts|John Morris|Erik von Detten|Laurie Metcalf|R. Lee Ermey|Sarah Freeman|Penn Jillette|Jack Angel|Spencer Aste
2::Jumanji::Jumanji::1995::Robin Williams|Jonathan Hyde|Kirsten Dunst|Bradley Pierce|Bonnie Hunt|Bebe Neuwirth|David Alan Grier|Patricia Clarkson|Adam Hann-Byrd|Laura Bell Bundy|James Handy|Gillian Barber|Brandon Obray|Cyrus Thiedeke|Gary Joseph Thorup
3::Grumpier Old Men::Grumpier Old Men::1995::Walter Matthau|Jack Lemmon|Sophia Loren|Ann-Margret|Burgess Meredith|Daryl Hannah|Kevin Pollak|Katie Sagona|Ann Morgan Guilbert|James Andelin|Marcus Klemp|Max Wright|Cheryl Hawker|Wayne A. Evenson|Allison Levine
4::Waiting to Exhale::Waiting to Exhale::1995::Whitney Houston|Angela Bassett|Loretta Devine|Lela Rochon|Gregory Hines|Dennis Haysbert|Mykelti Williamson|Michael Beach|Leon|Wendell Pierce|Donald Faison|Jeffrey D. Sams|Jazz Raycole|Brandon Hammond|Kenya Moore
5::Father of the Bride Part II::Father of the Bride Part II::1995::Steve Martin|Diane Keaton|Martin Short|Kimberly Williams-Paisley|George Newbern|Kieran Culkin|BD Wong|Peter Michael Goetz|Kate McGregor-Stewart|Jane Adams|Eugene Levy|Rebecca Chambers|April Ortiz|Dulcy Rogers|Kathy Anthony
6::Heat::Heat::1995::Al Pacino|Robert De Niro|Val Kilmer|Jon Voight|Tom Sizemore|Diane Venora|Amy Brenneman|Ashley Judd|Mykelti Williamson|Wes Studi|Ted Levine|Dennis Haysbert|William Fichtner|Natalie Portman|Tom Noonan
7::Sabrina::Sabrina::1995::Harrison Ford|Julia Ormond|Greg Kinnear|Nancy Marchand|John Wood|Richard Crenna|Angie Dickinson|Lauren Holly|Dana Ivey|Miriam Colon|Elizabeth Franz|Fanny Ardant|ValÈrie Lemercier|Patrick Bruel|Becky Ann Baker
8::Tom and Huck::Tom and Huck::1995::Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket|Amy Wright|Michael McShane|Marian Seldes|Rachael Leigh Cook|Lanny Flaherty|Courtland Mead|Peter Mackenzie|Heath Lamberts|William Newman|Joey Stinson|Blake Heron
9::Sudden Death::Sudden Death::1995::Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright|Ross Malinger|Dorian Harewood|Kate McNeil|Michael Gaston|Audra Lindley|Brian Delate|Steve Aronson|Michael R. Aubele|Karen Elise Baldwin|Jennifer D. Bowser|Pat Brisson
10::GoldenEye::GoldenEye::1995::Pierce Brosnan|Sean Bean|Izabella Scorupco|Famke Janssen|Joe Don Baker|Judi Dench|Robbie Coltrane|TchÈky Karyo|Gottfried John|Alan Cumming|Desmond Llewelyn|Samantha Bond|Michael Kitchen|Serena Gordon|Simon Kunz
11::"American President, The"::"American President, The "::1995::Michael Douglas|Annette Bening|Martin Sheen|Michael J. Fox|Anna Deavere Smith|Samantha Mathis|Shawna Waldron|David Paymer|Anne Haney|Richard Dreyfuss|Nina Siemaszko|Wendie Malick|Beau Billingslea|Gail Strickland|Joshua Malina
12::Dracula::Dracula:: Dead and Loving It::1995::Leslie Nielsen|Peter MacNicol|Steven Weber|Amy Yasbeck|Lysette Anthony|Harvey Korman|Mel Brooks|Mark Blankfield|Megan Cavanagh|Clive Revill|Chuck McCann|Avery Schreiber|Cherie Franklin|Ezio Greggio|Leslie S. Sachs
13::Balto::Balto::1995::Kevin Bacon|Bob Hoskins|Bridget Fonda|Jim Cummings|Phil Collins|Jack Angel|Danny Mann|Robbie Rist|Juliette Brewer|Sandra Dickinson|Miriam Margolyes|Lola Bates-Campbell|Donald Sinden|William Roberts|Garrick Hagon
14::Nixon::Nixon::1995::Anthony Hopkins|Joan Allen|Powers Boothe|Ed Harris|Bob Hoskins|E.G. Marshall|David Paymer|David Hyde Pierce|Paul Sorvino|Mary Steenburgen|J.T. Walsh|James Woods|Brian Bedford|Kevin Dunn|Fyvush Finkel
15::Cutthroat Island::Cutthroat Island::1995::Geena Davis|Matthew Modine|Frank Langella|Maury Chaykin|Patrick Malahide|Stan Shaw|Rex Linn|Paul Dillon|Christopher Masterson|Jimmie F. Skaggs|Harris Yulin|Carl Chase|Peter Geeves|Angus Wright|Ken Bones
16::Casino::Casino::1995::Robert De Niro|Sharon Stone|Joe Pesci|James Woods|Don Rickles|Alan King|Kevin Pollak|L.Q. Jones|Dick Smothers|Frank Vincent|John Bloom|Pasquale Cajano|Melissa Prophet|Bill Allison|Vinny Vella
17::Sense and Sensibility::Sense and Sensibility::1995::James Fleet|Tom Wilkinson|Harriet Walter|Kate Winslet|Emma Thompson|Gemma Jones|Hugh Grant|Emilie FranÁois|Elizabeth Spriggs|Robert Hardy|Ian Brimble|Isabelle Amyes|Alan Rickman|Greg Wise|Alexander John
18::Four Rooms::Four Rooms::1995::Sammi Davis|Amanda De Cadenet|Valeria Golino|Madonna|Ione Skye|Lili Taylor|Alicia Witt|Jennifer Beals|David Proval|Antonio Banderas|Lana McKissack|Patricia Vonne|Tamlyn Tomita|Danny Verduzco|Salma Hayek
19::Ace Ventura::Ace Ventura:: When Nature Calls::1995::Michael DaingerfieldRichard Binsley|Pam Hyatt|Bruce Tubbe|Al Waxman|Vince Corazza|D.G. Beatty|Bruce Hunter|Ron Pardo|Rhona Shekter|James Rankin|John Stocker|Rob Paulsen|John Beach|Jeff Bergman|Lisa DeSimone|Peter Fernandez|Alison Fraser|Bob Kaliban|Robert Lydiard|Henry Mandell|Corinne Orr|Susan Roman|Tara Strong
20::Money Train::Money Train::1995::Wesley Snipes|Woody Harrelson|Jennifer Lopez|Robert Blake|Chris Cooper|Joe Grifasi|Scott Sowers|Skipp Sudduth|Vincent Laresca|Nelson Vasquez|Vincent Patrick|Aida Turturro|Alvaleta Guess|Vincent Pastore|David Tawil
21::Get Shorty::Get Shorty::1995::John Travolta|Gene Hackman|Rene Russo|Danny DeVito|Dennis Farina|Delroy Lindo|James Gandolfini|Jon Gries|Renee Props|David Paymer|Martin Ferrero|Miguel Sandoval|Jacob Vargas|Linda Hart|Bobby Slayton
22::Copycat::Copycat::1995::Sigourney Weaver|Holly Hunter|Dermot Mulroney|William McNamara|Harry Connick Jr.|J.E. Freeman|Will Patton|John Rothman|Shannon O'Hurley|Bob Greene|Tony Haney|Danny Kovacs|Tahmus Rounds|Scott DeVenney|David Michael Silverman
23::Assassins::Assassins::1995::Sylvester Stallone|Antonio Banderas|Julianne Moore|Anatoli Davydov|Muse Watson|Steve Kahan|Kelly Rowan|Reed Diamond|Kai Wulff|Kerry Skalsky|James Douglas Haskins|Stephen Liska|John Harms|Edward J. Rosen|Christina Orchid
24::Powder::Powder::1995::Mary Steenburgen|Sean Patrick Flanery|Lance Henriksen|Jeff Goldblum|Brandon Smith|Bradford Tatum|Susan Tyrrell|Missy Crider|Ray Wise|Esteban Powell|Reed Frerichs|Chad Cox|Joe Marchman|Philip Maurice Hayes|Danette McMahon
